model,lodGroup,renderer,lodIndex,vertexCount,triangleCount,submeshCount,boundsSizeX,boundsSizeY,boundsSizeZ,avgEdgeLengthWorld,disconnectedGeomIslands,uv0ShellCount,uv0TotalCoverage,uv0MaxShellArea,uv0MeanShellArea,uv0ShellAreaStdDev,uv0AabbOverlapPairs,uv0OobVertexCount,mirrorPairsDetected,hasUv2,uv2ShellCount,uv2AabbOverlapPairs,uv2OobVertexCount
Playground,Playground,Playground_LOD0,0,10209,15532,1,3.5861342,3.498456,3.16229868,0.07646527,240,240,0.424338967,0.0159979519,0.001768079,0.00343144219,3133,0,0,1,240,17,0
Playground,Playground,Playground_LOD1,1,5674,7704,1,3.5861342,3.498456,3.16229868,0.07951595,236,236,0.4239845,0.015999794,0.00179654453,0.00345262676,3113,0,0,1,236,13,0
Playground,Playground,Playground_LOD2,2,3476,3976,1,3.5861342,3.498456,3.16229868,0.126229391,235,235,0.422858059,0.0159977712,0.001799396,0.00345713645,3101,0,0,1,235,13,0
Playground,Playground,Playground_LOD3,3,1225,715,1,3.57206917,3.46801567,3.16230178,0.470441639,264,264,0.411884218,0.0159979519,0.00156016753,0.00317673129,1111,0,0,1,264,121,0
