timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T12:51:35.6399719Z,sweep_res2048_pad8_bdr0,Gazebo,LegacyFixed,1,1,2048,8,0,0,Gazebo_LOD0,Gazebo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,-1,938,67,823,0
2026-04-19T12:51:35.6399719Z,sweep_res2048_pad8_bdr0,Gazebo,LegacyFixed,1,1,2048,8,0,0,Gazebo_LOD1,Gazebo,1,0,84,0,0,84,0,0,0,0,0,0,952,952,489,4,0,0,454,0,0,0,0,123.459908,0,16,2,1,0,-1,-1,938,67,823,0
2026-04-19T12:51:35.6399719Z,sweep_res2048_pad8_bdr0,Gazebo,LegacyFixed,1,1,2048,8,0,0,Gazebo_LOD2,Gazebo,2,0,111,0,0,110,1,0,0,1,0,0,566,566,192,12,6,0,153,0,0,0,2,124.069763,0,16,1,0,0,-1,-1,938,67,823,0
