timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T12:51:36.9063615Z,sweep_res2048_pad32_bdr0,Gazebo,LegacyFixed,1,1,2048,32,0,0,Gazebo_LOD0,Gazebo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,-1,1176,356,765,0
2026-04-19T12:51:36.9063615Z,sweep_res2048_pad32_bdr0,Gazebo,LegacyFixed,1,1,2048,32,0,0,Gazebo_LOD1,Gazebo,1,0,84,0,0,84,0,0,0,0,0,0,952,952,454,4,0,0,490,0,0,0,0,254.4763,0,16,2,2,0,-1,-1,1176,356,765,0
2026-04-19T12:51:36.9073629Z,sweep_res2048_pad32_bdr0,Gazebo,LegacyFixed,1,1,2048,32,0,0,Gazebo_LOD2,Gazebo,2,0,111,0,0,110,1,0,0,1,0,0,566,566,156,11,5,0,191,0,0,0,2,256.7291,0,16,1,0,0,-1,-1,1176,356,765,0
