timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T13:00:16.2242160Z,sweep_res2048_pad6_bdr0,Wooden_Box_Long,LegacyFixed,1,1,2048,6,0,0,Wooden_Box_Long_LOD0,Wooden_Box_Long,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,867,240,616,0
2026-04-19T13:00:16.2242160Z,sweep_res2048_pad6_bdr0,Wooden_Box_Long,LegacyFixed,1,1,2048,6,0,0,Wooden_Box_Long_LOD1,Wooden_Box_Long,1,0,91,0,0,90,1,0,0,0,0,0,581,581,334,11,10,0,151,0,0,0,7,365.16864,0,0,1,0,0,-1,-1,867,240,616,0
2026-04-19T13:00:16.2242160Z,sweep_res2048_pad6_bdr0,Wooden_Box_Long,LegacyFixed,1,1,2048,6,0,0,Wooden_Box_Long_LOD2,Wooden_Box_Long,2,0,90,0,1,88,1,0,0,1,0,0,376,376,84,5,6,0,106,0,0,0,3,62.0921326,0,0,1,0,0,-1,-1,867,240,616,0
