timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T13:00:09.5831164Z,sweep_res256_pad32_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,32,0,0,Wooden_Box_Long_LOD0,Wooden_Box_Long,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,841,257,572,0
2026-04-19T13:00:09.5831164Z,sweep_res256_pad32_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,32,0,0,Wooden_Box_Long_LOD1,Wooden_Box_Long,1,0,91,0,3,87,1,0,0,0,0,0,581,581,235,4,4,0,257,0,0,0,6,1516.72156,0,0,1,0,0,-1,-1,841,257,572,0
2026-04-19T13:00:09.5831164Z,sweep_res256_pad32_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,32,0,0,Wooden_Box_Long_LOD2,Wooden_Box_Long,2,0,90,0,2,87,1,0,0,1,0,0,376,376,96,2,4,0,95,0,0,0,2,249.039,0,0,5,5,1,-1,-1,841,257,572,0
