timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T13:00:15.2690387Z,sweep_res2048_pad4_bdr0,Wooden_Box_Long,LegacyFixed,1,1,2048,4,0,0,Wooden_Box_Long_LOD0,Wooden_Box_Long,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,765,185,568,0
2026-04-19T13:00:15.2690387Z,sweep_res2048_pad4_bdr0,Wooden_Box_Long,LegacyFixed,1,1,2048,4,0,0,Wooden_Box_Long_LOD1,Wooden_Box_Long,1,0,91,0,0,90,1,0,0,0,0,0,581,581,254,11,11,0,226,0,0,0,7,254.301437,0,0,1,0,0,-1,-1,765,185,568,0
2026-04-19T13:00:15.2690387Z,sweep_res2048_pad4_bdr0,Wooden_Box_Long,LegacyFixed,1,1,2048,4,0,0,Wooden_Box_Long_LOD2,Wooden_Box_Long,2,0,90,0,1,88,1,0,0,1,0,0,376,376,97,5,7,0,91,0,0,0,2,43.51102,0,0,1,0,0,-1,-1,765,185,568,0
