timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T13:00:13.5785322Z,sweep_res512_pad32_bdr0,Wooden_Box_Long,LegacyFixed,1,1,512,32,0,0,Wooden_Box_Long_LOD0,Wooden_Box_Long,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,993,412,570,0
2026-04-19T13:00:13.5785322Z,sweep_res512_pad32_bdr0,Wooden_Box_Long,LegacyFixed,1,1,512,32,0,0,Wooden_Box_Long_LOD1,Wooden_Box_Long,1,0,91,0,3,87,1,0,0,0,0,0,581,581,174,4,4,0,318,0,0,0,6,1161.27954,0,0,1,0,0,-1,-1,993,412,570,0
2026-04-19T13:00:13.5785322Z,sweep_res512_pad32_bdr0,Wooden_Box_Long,LegacyFixed,1,1,512,32,0,0,Wooden_Box_Long_LOD2,Wooden_Box_Long,2,0,90,0,2,87,1,0,0,1,0,0,376,376,88,2,4,0,104,0,0,0,1,197.99736,0,0,5,5,1,-1,-1,993,412,570,0
