timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T12:51:30.5250652Z,sweep_res512_pad8_bdr0,Gazebo,LegacyFixed,1,1,512,8,0,0,Gazebo_LOD0,Gazebo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,-1,875,23,799,0
2026-04-19T12:51:30.5250652Z,sweep_res512_pad8_bdr0,Gazebo,LegacyFixed,1,1,512,8,0,0,Gazebo_LOD1,Gazebo,1,0,84,0,0,84,0,0,0,0,0,0,952,952,469,4,0,0,472,0,0,0,0,238.930038,0,16,2,2,0,-1,-1,875,23,799,0
2026-04-19T12:51:30.5250652Z,sweep_res512_pad8_bdr0,Gazebo,LegacyFixed,1,1,512,8,0,0,Gazebo_LOD2,Gazebo,2,0,111,0,0,110,1,0,0,1,0,0,566,566,181,11,5,0,169,0,0,0,2,238.972626,0,16,1,0,0,-1,-1,875,23,799,0
