timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T13:00:17.1856787Z,sweep_res2048_pad8_bdr0,Wooden_Box_Long,LegacyFixed,1,1,2048,8,0,0,Wooden_Box_Long_LOD0,Wooden_Box_Long,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,876,304,561,0
2026-04-19T13:00:17.1856787Z,sweep_res2048_pad8_bdr0,Wooden_Box_Long,LegacyFixed,1,1,2048,8,0,0,Wooden_Box_Long_LOD1,Wooden_Box_Long,1,0,91,0,0,90,1,0,0,0,0,0,581,581,239,11,11,0,246,0,0,0,8,263.974182,0,0,1,0,0,-1,-1,876,304,561,0
2026-04-19T13:00:17.1856787Z,sweep_res2048_pad8_bdr0,Wooden_Box_Long,LegacyFixed,1,1,2048,8,0,0,Wooden_Box_Long_LOD2,Wooden_Box_Long,2,0,90,0,2,87,1,0,0,1,0,0,376,376,86,5,7,0,103,0,0,0,2,45.0529556,0,0,1,0,0,-1,-1,876,304,561,0
