timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T13:00:06.5174403Z,sweep_res256_pad2_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,2,0,0,Wooden_Box_Long_LOD0,Wooden_Box_Long,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,625,28,582,0
2026-04-19T13:00:06.5174403Z,sweep_res256_pad2_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,2,0,0,Wooden_Box_Long_LOD1,Wooden_Box_Long,1,0,91,0,0,90,1,0,0,0,0,0,581,581,101,11,10,0,378,0,0,0,9,293.63385,0,0,1,0,0,-1,-1,625,28,582,0
2026-04-19T13:00:06.5174403Z,sweep_res256_pad2_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,2,0,0,Wooden_Box_Long_LOD2,Wooden_Box_Long,2,0,90,0,2,87,1,0,0,1,0,0,376,376,102,5,6,0,86,0,0,0,4,50.2011,0,0,5,5,1,-1,-1,625,28,582,0
