timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T12:51:24.6357951Z,sweep_res256_pad6_bdr0,Gazebo,LegacyFixed,1,1,256,6,0,0,Gazebo_LOD0,Gazebo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,-1,860,16,793,0
2026-04-19T12:51:24.6373201Z,sweep_res256_pad6_bdr0,Gazebo,LegacyFixed,1,1,256,6,0,0,Gazebo_LOD1,Gazebo,1,0,84,0,0,84,0,0,0,0,0,0,952,952,586,4,0,0,356,0,0,0,0,316.6931,0,16,2,2,0,-1,-1,860,16,793,0
2026-04-19T12:51:24.6373201Z,sweep_res256_pad6_bdr0,Gazebo,LegacyFixed,1,1,256,6,0,0,Gazebo_LOD2,Gazebo,2,0,111,0,0,110,1,0,0,1,0,0,566,566,190,11,5,0,157,0,0,0,2,316.995,0,16,1,0,0,-1,-1,860,16,793,0
