timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T12:51:27.6235716Z,sweep_res512_pad2_bdr0,Gazebo,LegacyFixed,1,1,512,2,0,0,Gazebo_LOD0,Gazebo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,-1,894,19,819,0
2026-04-19T12:51:27.6235716Z,sweep_res512_pad2_bdr0,Gazebo,LegacyFixed,1,1,512,2,0,0,Gazebo_LOD1,Gazebo,1,0,84,0,0,84,0,0,0,0,0,0,952,952,595,4,0,0,346,0,0,0,0,121.813072,0,16,2,2,0,-1,-1,894,19,819,0
2026-04-19T12:51:27.6235716Z,sweep_res512_pad2_bdr0,Gazebo,LegacyFixed,1,1,512,2,0,0,Gazebo_LOD2,Gazebo,2,0,111,0,0,110,1,0,0,1,0,0,566,566,211,10,3,0,137,0,0,0,2,121.30249,0,16,2,1,0,-1,-1,894,19,819,0
