timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T13:00:08.6614874Z,sweep_res256_pad8_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,8,0,0,Wooden_Box_Long_LOD0,Wooden_Box_Long,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,647,33,603,0
2026-04-19T13:00:08.6614874Z,sweep_res256_pad8_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,8,0,0,Wooden_Box_Long_LOD1,Wooden_Box_Long,1,0,91,0,3,87,1,0,0,0,0,0,581,581,180,7,4,0,308,0,0,0,8,647.6864,0,0,1,0,0,-1,-1,647,33,603,0
2026-04-19T13:00:08.6614874Z,sweep_res256_pad8_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,8,0,0,Wooden_Box_Long_LOD2,Wooden_Box_Long,2,0,90,0,2,87,1,0,0,1,0,0,376,376,88,5,4,0,100,0,0,0,2,103.621223,0,0,5,5,1,-1,-1,647,33,603,0
