timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T12:56:05.7518584Z,sweep_res512_pad4_bdr0,Carousel,LegacyFixed,1,1,512,4,0,0,Carousel_LOD0,Carousel,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,11987,89,11773,0
2026-04-19T12:56:05.7518584Z,sweep_res512_pad4_bdr0,Carousel,LegacyFixed,1,1,512,4,0,0,Carousel_LOD1,Carousel,1,0,92,0,6,81,5,0,3,6,0,0,1700,1700,936,289,353,0,650,0,0,0,18,26.2554836,0,6,4,6,0,-1,-1,11987,89,11773,0
2026-04-19T12:56:05.7518584Z,sweep_res512_pad4_bdr0,Carousel,LegacyFixed,1,1,512,4,0,0,Carousel_LOD2,Carousel,2,0,78,0,6,71,1,0,0,1,0,0,1013,1013,465,178,172,0,385,0,0,0,20,30.3784332,0,6,5,14,1,-1,-1,11987,89,11773,0
2026-04-19T12:56:05.7518584Z,sweep_res512_pad4_bdr0,Carousel,LegacyFixed,1,1,512,4,0,0,Carousel_LOD3,Carousel,3,0,66,0,0,65,1,0,0,0,0,0,410,410,185,28,10,0,89,0,0,0,2,24.6842327,0,6,5,34,1,-1,-1,11987,89,11773,0
