timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T13:00:07.2408842Z,sweep_res256_pad4_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,4,0,0,Wooden_Box_Long_LOD0,Wooden_Box_Long,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,640,24,604,0
2026-04-19T13:00:07.2408842Z,sweep_res256_pad4_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,4,0,0,Wooden_Box_Long_LOD1,Wooden_Box_Long,1,0,91,0,1,89,1,0,0,0,0,0,581,581,165,9,9,0,316,0,0,0,8,433.94632,0,0,1,0,0,-1,-1,640,24,604,0
2026-04-19T13:00:07.2408842Z,sweep_res256_pad4_bdr0,Wooden_Box_Long,LegacyFixed,1,1,256,4,0,0,Wooden_Box_Long_LOD2,Wooden_Box_Long,2,0,90,0,2,87,1,0,0,1,0,0,376,376,90,5,7,0,97,0,0,0,2,70.79109,0,0,1,0,0,-1,-1,640,24,604,0
