timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T12:51:28.5661950Z,sweep_res512_pad4_bdr0,Gazebo,LegacyFixed,1,1,512,4,0,0,Gazebo_LOD0,Gazebo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,-1,860,18,791,0
2026-04-19T12:51:28.5661950Z,sweep_res512_pad4_bdr0,Gazebo,LegacyFixed,1,1,512,4,0,0,Gazebo_LOD1,Gazebo,1,0,84,0,0,84,0,0,0,0,0,0,952,952,436,4,0,0,505,0,0,0,0,160.516068,0,16,2,2,0,-1,-1,860,18,791,0
2026-04-19T12:51:28.5661950Z,sweep_res512_pad4_bdr0,Gazebo,LegacyFixed,1,1,512,4,0,0,Gazebo_LOD2,Gazebo,2,0,111,0,0,110,1,0,0,1,0,0,566,566,154,12,6,0,195,0,0,0,2,159.5903,0,16,1,0,0,-1,-1,860,18,791,0
