timestamp,runLabel,lodGroup,symSplitMode,repackPerMesh,splitTargets,atlasRes,shellPad,borderPad,sourceLod,rendererName,meshGroupKey,lodIndex,isSourceLod,shellsMatched,shellsUnmatched,shellsTransform,shellsInterpolation,shellsMerged,shellsRejected,shellsOverlapFixed,dedupConflicts,fragmentsMerged,consistencyCorrected,verticesTransferred,verticesTotal,invertedCount,stretchedCount,zeroAreaCount,oobCount,cleanCount,overlapShellPairs,overlapTriangleCount,overlapSameSrcPairs,texelDensityBadCount,texelDensityMedian,symSplitFallbackCount,symSplitTotalCount,topologyIterations,topologyFixed,topologyCapHit,preRepackOverlaps,postRepackOverlaps,pipelineMs,repackMs,transferMs,validateMs
2026-04-19T12:51:31.5962067Z,sweep_res512_pad32_bdr0,Gazebo,LegacyFixed,1,1,512,32,0,0,Gazebo_LOD0,Gazebo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,-1,-1,984,137,798,0
2026-04-19T12:51:31.5962067Z,sweep_res512_pad32_bdr0,Gazebo,LegacyFixed,1,1,512,32,0,0,Gazebo_LOD1,Gazebo,1,0,84,0,0,84,0,0,0,0,0,0,952,952,426,4,0,0,517,0,0,0,0,985.4307,0,16,2,2,0,-1,-1,984,137,798,0
2026-04-19T12:51:31.5962067Z,sweep_res512_pad32_bdr0,Gazebo,LegacyFixed,1,1,512,32,0,0,Gazebo_LOD2,Gazebo,2,0,111,0,0,110,1,0,0,1,0,0,566,566,171,11,5,0,179,0,0,0,2,990.875061,0,16,1,0,0,-1,-1,984,137,798,0
